name,state,population,breast,colorectal,prostate,lung,melanoma,poverty,income,region,black_alone,white_alone,asian_alone,lat,lon
jackson,al,52608,103.9,45.4,108.3,80.9,20.4,16.9,37204,east_south_central,3.2941757907542577,91.14393248175182,0.3725669099756691,34.779415,-85.999301
jefferson,al,659096,130.5,43.5,160.1,65.1,17.9,18.9,45024,east_south_central,42.52005777610545,52.42013303069659,1.5069124983310473,33.554314,-86.89649
lamar,al,14066,137.8,57.4,145.4,80.4,18.1,23,36475,east_south_central,11.261197213138063,87.55154272714347,0,33.779206,-88.096899
lauderdale,al,92641,99,39.8,114.1,69.3,29,17.1,43586,east_south_central,9.850929933830594,87.03165984823134,0.6789650370786153,34.901372,-87.653998
lawrence,al,33433,102,48,125.8,88.1,25.7,17.4,40713,east_south_central,11.366015613316184,78.09050937696288,0.0927227589507373,34.521651,-87.311045
lee,al,153947,116.8,34.9,136.3,59.4,12.9,19.8,44647,east_south_central,23.235269280986312,69.94744944688756,3.622025762112935,32.601136,-85.355563
limestone,al,90257,117.1,37.6,150,73.4,19.1,15.9,50148,east_south_central,12.743609913912495,81.45296209712266,1.2464407192793912,34.810076,-86.98137
madison,al,349973,125.9,38.7,122.1,64.8,19.1,13.9,58258,east_south_central,24.18958033905473,68.82273775405531,2.449903278252894,34.76309,-86.550207
marion,al,30239,115.2,46.8,110.6,74.2,19.7,20.8,34162,east_south_central,3.346671516915242,93.39594563312279,0.32408479116372896,34.13655,-87.887138
marshall,al,94534,84.6,41.7,106,79.4,23,18.1,38399,east_south_central,2.0955423445532824,92.47783866122242,0.5881481794909768,34.366962,-86.306637
mobile,al,414291,120.2,49.2,135.2,75.4,20,20.3,42278,east_south_central,35.31479081128965,59.57020548358521,1.964802518036839,30.685147,-88.19753
montgomery,al,227392,125.9,47.9,140.8,61,19,22.1,44013,east_south_central,56.820380664227415,37.7884886011821,2.2467808893892487,32.220258,-86.207614
morgan,al,119555,113.2,44.8,154.4,80.4,24.6,17.4,44079,east_south_central,12.175985947890092,81.870268913889,0.6708209610639455,34.453475,-86.852928
pickens,al,20042,160.3,39,150.6,65.6,12.9,23.8,32314,east_south_central,41.84712104580381,56.152080630675584,0.059874264045504444,33.280877,-88.088693
pike,al,33277,122.7,36,160.8,61.8,28.8,25.3,35944,east_south_central,37.60555338522102,58.322565135078285,2.115575322294678,31.802715,-85.940921
randolph,al,22615,112.4,45,155.4,75.5,15,23.4,35121,east_south_central,19.584346672562457,77.1700198982976,0.22551403935441078,33.293787,-85.45907
russell,al,58636,137.1,51.3,158.8,78.7,15.5,23.9,35762,east_south_central,42.27607613070469,51.831639265979945,0.7418650658298657,32.28838,-85.184963
shelby,al,205951,130.4,37.8,146.2,57.1,27.4,8.3,68718,east_south_central,11.603730984554579,81.21203587261047,1.9849381649033022,33.264278,-86.660648
st. clair,al,86576,109.1,39.8,120.4,74.7,21.5,14,52437,east_south_central,9.420624653483644,87.48151912770282,0.855895398262798,33.715703,-86.314688
talladega,al,81057,105.7,49.3,137.6,74,18.3,19.8,38505,east_south_central,32.071258497106975,64.63352949159234,0.5452952860332853,33.380057,-86.165907
tallapoosa,al,40958,107.3,40.2,132.4,70.5,22.1,22.2,37747,east_south_central,27.46227843156404,70.26221983495287,0.507837296743005,32.862405,-85.797502
tuscaloosa,al,202471,135.5,42,160.3,72.3,14.9,17.2,45959,east_south_central,31.013330304092932,65.3644225592801,1.5034251818778985,33.28955,-87.52503
walker,al,65593,103.6,42.4,139.7,98.3,22.3,22,37193,east_south_central,5.779580138124495,91.36950589239706,0.4604149833061455,33.803335,-87.297357
washington,al,16909,116.4,54.1,121.1,74.8,18.8,19.7,41115,east_south_central,24.773789106393046,65.53906203796795,0.6505411319415696,31.407604,-88.207877
winston,al,24013,96.1,50.1,101.3,90.8,21.6,21.9,33578,east_south_central,0.4081122725190522,96.57685420397284,0.3498105193020447,34.149225,-87.373683
ashley,ar,20989,102.1,62.4,144.7,77,12.3,21.9,36479,west_south_central,25.918338177140406,71.69946162275478,0,33.191222,-91.768449
